"","date","disney_stock"
"1766",2014-01-07,76.3399963378906
"1767",2014-01-08,75.2200012207031
"1768",2014-01-09,74.9000015258789
"1769",2014-01-10,75.3899993896484
"1770",2014-01-13,73.2699966430664
"1771",2014-01-14,74.4499969482422
"1772",2014-01-15,74.2799987792969
"1773",2014-01-16,74.2099990844727
"1774",2014-01-17,73.9800033569336
"1775",2014-01-21,74.1999969482422
"1776",2014-01-22,75.3099975585938
"1777",2014-01-23,74.7900009155273
"1778",2014-01-24,72.7200012207031
"1779",2014-01-27,72.25
"1780",2014-01-28,72.879997253418
"1781",2014-01-29,71.3300018310547
"1782",2014-01-30,73.2200012207031
"1783",2014-01-31,72.6100006103516
"1784",2014-02-03,69.9899978637695
"1785",2014-02-04,71.0500030517578
"1786",2014-02-05,71.7600021362305
"1787",2014-02-06,75.5599975585938
"1788",2014-02-07,75.6699981689453
"1789",2014-02-10,77.0599975585938
"1790",2014-02-11,77.7900009155273
"1791",2014-02-12,77.9100036621094
"1792",2014-02-13,77.9000015258789
"1793",2014-02-14,79.2300033569336
"1794",2014-02-18,79.5800018310547
"1795",2014-02-19,78.870002746582
"1796",2014-02-20,79.1900024414062
"1797",2014-02-21,80.129997253418
"1798",2014-02-24,80.7300033569336
"1799",2014-02-25,80.2099990844727
"1800",2014-02-26,80.0800018310547
"1801",2014-02-27,80.4800033569336
"1802",2014-02-28,80.8099975585938
"1803",2014-03-03,79.4599990844727
"1804",2014-03-04,81.7099990844727
"1805",2014-03-05,82.6800003051758
"1806",2014-03-06,83.3399963378906
"1807",2014-03-07,82.2099990844727
"1808",2014-03-10,81.9700012207031
"1809",2014-03-11,81.0500030517578
"1810",2014-03-12,81.379997253418
"1811",2014-03-13,79.9300003051758
"1812",2014-03-14,80.0699996948242
"1813",2014-03-17,81.3899993896484
"1814",2014-03-18,81.9899978637695
"1815",2014-03-19,80.5199966430664
"1816",2014-03-20,80.8099975585938
"1817",2014-03-21,80.3499984741211
"1818",2014-03-24,79.4899978637695
"1819",2014-03-25,79.5500030517578
"1820",2014-03-26,78.620002746582
"1821",2014-03-27,78.4800033569336
"1822",2014-03-28,78.9899978637695
"1823",2014-03-31,80.0699996948242
"1824",2014-04-01,81.5699996948242
"1825",2014-04-02,81.6699981689453
"1826",2014-04-03,81.6900024414062
"1827",2014-04-04,80.4300003051758
"1828",2014-04-07,79.129997253418
"1829",2014-04-08,79.5699996948242
"1830",2014-04-09,80.4700012207031
"1831",2014-04-10,77.5100021362305
"1832",2014-04-11,77.0100021362305
"1833",2014-04-14,77.620002746582
"1834",2014-04-15,77.6600036621094
"1835",2014-04-16,78.9499969482422
"1836",2014-04-17,79.9899978637695
"1837",2014-04-21,79.1100006103516
"1838",2014-04-22,79.4499969482422
"1839",2014-04-23,79.5199966430664
"1840",2014-04-24,79.5899963378906
"1841",2014-04-25,78.2300033569336
"1842",2014-04-28,77.7799987792969
"1843",2014-04-29,78.6399993896484
"1844",2014-04-30,79.3399963378906
"1845",2014-05-01,79.5599975585938
"1846",2014-05-02,80.3099975585938
"1847",2014-05-05,81.2200012207031
"1848",2014-05-06,81.0299987792969
"1849",2014-05-07,80.2900009155273
"1850",2014-05-08,81.5999984741211
"1851",2014-05-09,81.9499969482422
"1852",2014-05-12,82.4199981689453
"1853",2014-05-13,82.0800018310547
"1854",2014-05-14,80.9199981689453
"1855",2014-05-15,80.1500015258789
"1856",2014-05-16,80.3899993896484
"1857",2014-05-19,81.0500030517578
"1858",2014-05-20,81.0899963378906
"1859",2014-05-21,82.1900024414062
"1860",2014-05-22,82.3499984741211
"1861",2014-05-23,83.3199996948242
"1862",2014-05-27,83.7399978637695
"1863",2014-05-28,83.5999984741211
"1864",2014-05-29,84.0299987792969
"1865",2014-05-30,84.0100021362305
"1866",2014-06-02,84.2699966430664
"1867",2014-06-03,83.879997253418
"1868",2014-06-04,84.2399978637695
"1869",2014-06-05,84.7799987792969
"1870",2014-06-06,84.6100006103516
"1871",2014-06-09,85.4800033569336
"1872",2014-06-10,84.75
"1873",2014-06-11,84.3099975585938
"1874",2014-06-12,82.8000030517578
"1875",2014-06-13,82.8000030517578
"1876",2014-06-16,83.3000030517578
"1877",2014-06-17,83.1600036621094
"1878",2014-06-18,83.5800018310547
"1879",2014-06-19,83.7699966430664
"1880",2014-06-20,82.8199996948242
"1881",2014-06-23,82.7600021362305
"1882",2014-06-24,82.6800003051758
"1883",2014-06-25,83.9000015258789
"1884",2014-06-26,84.4499969482422
"1885",2014-06-27,85.3000030517578
"1886",2014-06-30,85.7399978637695
"1887",2014-07-01,86.4700012207031
"1888",2014-07-02,86.4400024414062
"1889",2014-07-03,86.8399963378906
"1890",2014-07-07,86.5899963378906
"1891",2014-07-08,85.8600006103516
"1892",2014-07-09,87.2200012207031
"1893",2014-07-10,86.8600006103516
"1894",2014-07-11,86.8899993896484
"1895",2014-07-14,86.7600021362305
"1896",2014-07-15,86.1500015258789
"1897",2014-07-16,85.3499984741211
"1898",2014-07-17,85.0299987792969
"1899",2014-07-18,85.8099975585938
"1900",2014-07-21,85.7399978637695
"1901",2014-07-22,86.2099990844727
"1902",2014-07-23,86.0400009155273
"1903",2014-07-24,86.8000030517578
"1904",2014-07-25,86.2300033569336
"1905",2014-07-28,87.1500015258789
"1906",2014-07-29,86.1999969482422
"1907",2014-07-30,87.2099990844727
"1908",2014-07-31,85.879997253418
"1909",2014-08-01,85.379997253418
"1910",2014-08-04,87.2399978637695
"1911",2014-08-05,86.75
"1912",2014-08-06,86.5899963378906
"1913",2014-08-07,85.5100021362305
"1914",2014-08-08,86.8499984741211
"1915",2014-08-11,87.5
"1916",2014-08-12,87.2099990844727
"1917",2014-08-13,87.5999984741211
"1918",2014-08-14,88.6100006103516
"1919",2014-08-15,89.2799987792969
"1920",2014-08-18,89.9700012207031
"1921",2014-08-19,90.0899963378906
"1922",2014-08-20,89.8399963378906
"1923",2014-08-21,90.379997253418
"1924",2014-08-22,90.4899978637695
"1925",2014-08-25,90.379997253418
"1926",2014-08-26,90.0199966430664
"1927",2014-08-27,90.370002746582
"1928",2014-08-28,90.2300033569336
"1929",2014-08-29,89.879997253418
"1930",2014-09-02,90.8000030517578
"1931",2014-09-03,90.9400024414062
"1932",2014-09-04,90.1399993896484
"1933",2014-09-05,90.9400024414062
"1934",2014-09-08,90.5599975585938
"1935",2014-09-09,89.5999984741211
"1936",2014-09-10,89.5199966430664
"1937",2014-09-11,89.9700012207031
"1938",2014-09-12,89.6699981689453
"1939",2014-09-15,90.0800018310547
"1940",2014-09-16,90.2699966430664
